Model,Accuracy,Recall,F1 Score
Random Forest,0.9855843867819916,0.9898714452668484,0.9873712842432485
Logistic Regression,0.9489909070747394,0.9641604986365407,0.9555984555984556
SVM,0.9671767575959193,0.9906505648617062,0.9717233473442873
